TestID,SN,Time,Result,,,,测试项目,清除配对，退出配对模式,只读FW,进入工程模式,只读BDA,只读SN_BCCode,检测USB类型TypeA,+关闭工程模式,2 s,,,,单位,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,数值下限,N/A,N/A,N/A,N/A,N/A,Type-A,N/A,N/A,,,,数值上限,N/A,N/A,N/A,N/A,N/A,Type-A,N/A,N/A,
1,TE_BZP_EN_TEST_0000000001,08: 26: 54,False,Clear Pair False,,,,,,True,,
2,TE_BZP_EN_TEST_0000000002,08: 26: 54,False,Clear Pair False,,,,,,True,,
2,TE_BZP_EN_TEST_0000000004,08: 27: 00,False,Clear Pair False,,,,,,True,,
1,TE_BZP_EN_TEST_0000000003,08: 27: 00,False,Clear Pair False,,,,,,True,,
2,TE_BZP_EN_TEST_0000000006,08: 27: 05,False,Clear Pair False,,,,,,True,,
1,TE_BZP_EN_TEST_0000000005,08: 27: 14,True,True,36860693,101:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000008,08: 27: 27,True,True,36860693,110:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000007,08: 27: 28,True,True,36860693,101:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000009,08: 27: 41,True,True,36860693,101:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000010,08: 27: 42,True,True,36860693,110:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000012,08: 27: 55,True,True,36860693,110:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000011,08: 27: 56,True,True,36860693,101:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000013,08: 28: 09,True,True,36860693,101:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000014,08: 28: 10,True,True,36860693,110:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000016,08: 28: 24,True,True,36860693,110:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000015,08: 28: 24,True,True,36860693,101:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000018,08: 28: 38,True,True,36860693,110:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000017,08: 28: 38,True,True,36860693,101:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000020,08: 28: 52,True,True,36860693,110:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000019,08: 28: 52,True,True,36860693,101:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000021,08: 29: 06,True,True,36860693,101:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000022,08: 29: 06,True,True,36860693,110:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
2,TE_BZP_EN_TEST_0000000024,08: 29: 20,True,True,36860693,110:1,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
1,TE_BZP_EN_TEST_0000000023,08: 29: 20,True,True,36860693,101:2,F4B6883345F0,S/NAG8D19B/C932XX2,Type-A,True,True,
