TestID,SN,Time,Result,,,,测试项目,CheckFW,清除配对退出配对,OpenTestEngineDebugFor_sdb,CrystalTrim,Read Cap,Read Xtal,+QCC_V1CloseTestEngineDebug,进入工程模式,检查标志位 1,IntoDUT,SMT_ReadBDA,____DUT_Test,DUT_Out_Put_Power_Low,DUT_Out_Put_Power_Middle,DUT_Out_Put_Power_High,DUT_Carrier_Drift_Middle,DUT_Modulation_Index_Middle,DUT_Sensitivity_Middle,写标志位 2,检查标志位2,+退出工程模式,,,,单位,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,数值下限,N/A,N/A,N/A,-3,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0,0,0,-20,140,0,N/A,2,N/A,,,,数值上限,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,8,8,8,20,175,0.1,N/A,2,N/A,
2,,08: 24: 59,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
1,,08: 24: 59,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
2,,08: 26: 14,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
1,,08: 26: 14,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
1,,08: 26: 44,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
2,,08: 26: 44,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
1,08:26:46:8546,08: 26: 58,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
2,08:26:46:8646,08: 26: 58,False,料号没有维护到TE系统 False,,,,,,True,,,,,,,,,,,,,,True,
,TE_BZP_EN_TEST,11: 07: 37,False,True,V1607.10021,1:1:hydracore_config.sdb:QCC514X_CONFIG,-2.54,1:1:hydracore_config.sdb:QCC514X_CONFIG,"32b45939f7894f80a08ec523b23936ff",00025B00FF05,0x0B,7,True,00025B00FF05,6.57,5.65,,,,,True,
,RX2248007803,03: 33: 18,False,引動過程的目標傳回例外狀況。 False,,,,,,,,,,,,True,引動過程的目標傳回例外狀況。 False,,,
,RX2248007803,03: 34: 14,False,引動過程的目標傳回例外狀況。 False,,,,,,,,,,,,True,引動過程的目標傳回例外狀況。 False,,,
,TE_BZP_EN_TEST,05: 09: 22,False,NG; [123123123123] not found WO ORDER (找不到工单料号) Unable to find file False,
