TestID,SN,Time,Result,,,,测试项目,耳機藍燈測試,耳機綠燈測試,,,,单位,N/A,N/A,,,,数值下限,N/A,N/A,,,,数值上限,N/A,N/A,
1,TE_BZP_EN_TEST,08: 32: 02,True,True,True,
2,TE_BZP_EN_TEST,08: 34: 18,True,True,True,
2,TE_BZP_EN_TEST,08: 36: 47,True,True,True,
2,TE_BZP_EN_TEST,08: 44: 03,True,True,True,
1,,08: 45: 09,False,True,True,
2,,08: 45: 28,False,True,True,
1,,08: 45: 49,True,True,True,
2,,08: 46: 04,True,True,True,
1,,08: 59: 55,False,False,,
1,,09: 03: 09,False,True,False,
2,,09: 03: 20,False,True,False,
1,,09: 07: 45,True,True,True,
